Domande,Risposte,response_time,embedding_model,llm_model,retrieval_effectivness,llm_semantic_effectivness,llm_syntax_grammar_effectivness
Come si produce la mozzarella di bufala campana DOP?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,A cura di un ricercatore o produttore]> Ricerca sulle proprietà benefiche della mozzarella di bufala campana DOP 5 Storia 7 Denominazione d'origine 8 Tipologie 9 Aree di produzione 10 Allerta diossina 2008 11 Nella cultura di massa 12 Note 13 Bibliografia 14 Voci correlate 15 Altri progetti 16 Link esterni Preparazione[modifica | modifica wikitesto],,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
,,9278.019666671751,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-text2sql-with-schema,0,0,0
Dov'è nata la mozzarella di bufala?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,"Italia. A chi sostiene l'origine autoctona dell'animale, infatti, si contrappone chi ritiene sia stato introdotto in Italia subito dopo l'invasione dei Longobardi",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,,18162.62936592102,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
Dove viene prodotto la mozzarella di bufala?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,"In Campania, solo 128 sono iscritti alla Dop. La mozzarella di bufala è prodotta esclusivamente con latte fresco intero di bufala di razza mediterranea italiana, ricco di grassi e proteine",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,,15973.582744598389,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
Che cosa significa DOP?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,"La mozzarella di bufala deve essere conservata in un ambiente fresco, sempre immersa nel suo liquido di governo. Il prodotto, infatti, mantiene le sue caratteristiche se conservato nel proprio liquido, nel rispetto delle temperature indicate dal produttore in etichetta come previsto dalla normativa vigente",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,,18381.54101371765,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
Quali sono i valori nutrizionali della mozzarella di bufala campana DOP?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,"Menzioniamo 16,7 g di proteine, 24,4 g di grassi, pochissimo lattosio (0,4 g%) e una quantità di micronutrienti (vitamine e sali minerali), tra cui meritano di essere menzionati il ​​calcio (210 mg%) e la vitamina B12 (1,7 g%).",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,,33679.86726760864,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
Qual'è la storia della mozzarella di bufala?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,"L'epoca d'oro della mozzarella di bufala risale al Settecento, con i Borboni e la nascita della Real Tenuta di Carditello. Il re fondò qui un grande allevamento di bufali, insieme a quello che è considerato il primo caseificio sperimentale",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,,22073.18544387817,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
Quanto latte serve per produrre un chilo di mozzarella?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,"4,2 litri. La risposta: 4,2 litri. ""Per un chilo di mozzarella occorrono circa 4,1 litri."" è la risposta corretta",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,,16029.79302406311,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
Quanto costa all'incirca una mozzarella?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,"sotto i 12 euro in Campania e sotto i 16 nel resto d'Italia, la mozzarella potrebbe presentare problemi di qualità. Così dice Paolo Amato, uno dei mastri casari più stimati d'Italia, che ci dà anche qualche consiglio su come scegliere la mozzarella senza incappare in truffe.",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,,22492.302417755127,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
Come riconoscere una mozzarella di qualità?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,"DOP"" (Denominazione di Origine Protetta) garantisce il consumatore e specifica l'area geografica in cui viene prodotto. Dagli anni Novanta, il riconoscimento della ""DOP"" (Denominazione di Origine Protetta) garantisce il consumatore e specifica l'area geografica in cui viene prodotto .",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,,23852.468729019165,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
Quali sono gli abbinamenti culinari della mozzarella di Bufala Dop?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,La mozzarella di bufala è così buona che è più di un prodotto. Il miracolo è la mozzarella in genere cioè sembra quasi strano che madre natura non l'abbia creata.,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,,15238.592386245728,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
Come si produce la mozzarella di bufala campana DOP?,,,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,"latte fresco intero di bufala di razza mediterranea italiana. Gli animali devono essere registrati all'anagrafe e sono allevati secondo le consuetudini locali in stabulazione semilibera, al pascolo aperto",,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
,,17484.171152114868,sentence-transformers/msmarco-distilbert-dot-v5,flan-t5-large,0,0,0
Dov'è nata la mozzarella di bufala?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,"La mozzarella di bufala ha origine nel Medioevo. Si ritiene che derivi da bufali che vivevano in zone paludose e venivano utilizzati per proteggersi dalle eccessive radiazioni solari, oltre ad essere popolare tra le popolazioni locali che volevano un formaggio prodotto senza prodotti animali o zuccheri aggiunti.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,,22159.111499786377,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
Dove viene prodotto la mozzarella di bufala?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,"La mozzarella di bufala è prodotta in Campania. È un formaggio popolare che può essere trovato in tutta Italia e nella regione del Mediterraneo, tra cui la Spagna settentrionale (San Marino), la Francia meridionale (Parigi) e la Germania orientale (Berlino).",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,,19858.48116874695,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
Che cosa significa DOP?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,"Denominazione di Origine Protetta. Si tratta di un riconoscimento che rassicura il consumatore e specifica l'area geografica in cui è stato prodotto, oltre a fornire informazioni sulla sua origine come la provenienza o il tipo di latte utilizzato per produrlo (mozzarella di bufala).",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,,27130.290508270264,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
Quali sono i valori nutrizionali della mozzarella di bufala campana DOP?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,"La mozzarella di bufala campana DOP è particolarmente nutriente. Ha un ridotto contenuto di zuccheri, colesterolo e lattosio che lo rendono un'ottima fonte di proteine ​​ad alto valore biologico oltre ad un moderato apporto di grassi totali e acidi grassi saturi.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,,30078.062295913696,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
Qual'è la storia della mozzarella di bufala?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,"La storia della mozzarella risale al Medioevo. Si ritiene che sia stato prodotto per la prima volta dagli agricoltori di un piccolo villaggio vicino a Roma, in Italia, intorno al 1300 a.C. e poi si sia diffuso in tutta Europa nel corso di diversi secoli fino a quando il suo uso diffuso iniziò durante la seconda guerra mondiale, quando la produzione di formaggio italiano divenne più avanzata grazie ai progressi dell'Europa. paesi come la Francia o la Germania.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,,28143.49174499512,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
Quanto latte serve per produrre un chilo di mozzarella?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,"Per produrre un kg (chilo) di mozzarella sono necessari circa 4,2 litri di latte. Questo perché il latticino necessita di latte di bufala fresco e intero di razza mediterranea italiana e contiene grassi ad alto contenuto proteico e vitamine A1, B6, C3, K2, E6 che aiutano a dare sapore senza sovrastarli con zuccheri o ingredienti salati. come il grasso di burro.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,,30310.773372650143,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
Quanto costa all'incirca una mozzarella?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,"La risposta è di circa $ 18,50 l'oncia, a seconda della marca e della dimensione della pizza che acquisti da loro (ad esempio: mozzarella di Aversa).",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,,17460.606575012207,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
Come riconoscere una mozzarella di qualità?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,"Il modo migliore per riconoscere la mozzarella di qualità è cercare i segni dell'età, come una consistenza morbida e cremosa. Dovrebbe anche avere un aroma che ricordi la freschezza o i sapori estivi come la citronella e il basilico; sarà più probabile rispetto ad altre varietà di formaggio con qualità simili in termini di gusto e aspetto.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,,24464.4992351532,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
Quali sono gli abbinamenti culinari della mozzarella di Bufala Dop?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,"La mozzarella di bufala campana affumicata DOP può essere utilizzata in vari abbinamenti culinari come pasta, pizza e condimento per insalate. È apprezzato anche con piatti a base di carne, come ad esempio bistecche o pollo.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,,28633.257389068604,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
Come si produce la mozzarella di bufala campana DOP?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,"La mozzarella di bufala campana DOP è prodotta con latte fresco intero di bufala di razza mediterranea italiana. Gli animali devono essere registrati nell'anagrafe e allevati secondo le consuetudini locali al pascolo all'aperto prima di essere stagionati per diversi mesi a temperatura ambiente utilizzando metodi tradizionali come arrotolarli o cuocerli lentamente fino ad ammorbidirli grazie alla pressione dell'aria durante lo stoccaggio, quindi invecchiare ulteriormente sotto acqua potabile fredda mentre è ancora congelata in modo che il suo sapore rimanga intatto dopo il confezionamento",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
,,36248.01588058472,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,flan-alpaca-large,0,0,0
Dov'è nata la mozzarella di bufala?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,"Il bufalo mediterraneo italiano di Paestum, da cui viene ricavata la mozzarella, è un bovino, probabilmente autoctono, come dimostra la presenza di un DNA diverso da qualunque altro genere di bufalo[18] asiatico, di corporatura più massiccia, di colore scuro e con peli corti a pelo lungo, abituati a vivere in zone paludose, nel cui fango sono soliti rotolarsi per la salute della propria pelle e per proteggersi dalle eccessive radiazioni solari.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,,14062.731742858889,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
Dove viene prodotto la mozzarella di bufala?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,UN). (B). [B]. Casertano. (C). Provincia di Salerno. (D). Provincia del Cilento. (e).,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,,6037.84441947937,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
Che cosa significa DOP?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,Denominazione di Origine Protetta. (DOP) (Denominazione di Origine Protetta) garantisce il consumatore e specifica la zona geografica in cui è prodotto.,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,,8272.531270980835,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
Quali sono i valori nutrizionali della mozzarella di bufala campana DOP?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,"Facilmente digeribile, con un ridotto contenuto di zuccheri, colesterolo e lattosio, è anche un'ottima fonte di proteine ​​ad alto valore biologico, a cui si accompagna un moderato apporto di grassi totali e acidi grassi saturi.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,,9695.722103118896,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
Qual'è la storia della mozzarella di bufala?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,"- L'epoca d'oro della mozzarella di bufala risale al Settecento, con i Borboni e la nascita della Real Tenuta di Carditello.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,,7485.496520996094,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
Quanto latte serve per produrre un chilo di mozzarella?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,"4,2 litri. Quindi la risposta finale è 4,2 litri. Tutta la filiera è rigorosamente controllata al fine di garantire il rispetto delle norme igieniche e offrire al consumatore un prodotto di ottima qualità.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,,6116.276741027832,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
Quanto costa all'incirca una mozzarella?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,"una tazza di caffè costava a detta degli esperti le ciliegie o il succo d'arancia, arrivava a poter partire dopo mesi. La cosa sorprendente è che, secondo il produttore, ""gli aumenti sono ancora minimi a causa delle leggi del mercato. Mozzarella e fiordilatte dovrebbero costare ancora di più ma questo è impossibile da far accettare"".",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,,9571.996450424194,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
Come riconoscere una mozzarella di qualità?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,Utilizzando le seguenti informazioni: Utile (A): Acquistare mozzarella campana e campana. Acquistare mozzarelle di Aversa e Battipaglia.,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,,5619.0290451049805,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
Quali sono gli abbinamenti culinari della mozzarella di Bufala Dop?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,"Francesco Addeo, Aspetti nutrizionali della mozzarella di bufala campana, in Mozzarella di bufala campana, Ed. Consorzio Tutela, 2004.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,,10628.026485443115,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
Come si produce la mozzarella di bufala campana DOP?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,"Utilizzando processi naturali e tradizionali. [6] Nord Ovest (34,9%), mentre circa un terzo delle esportazioni sono state assorbite dalla Francia (33%). [7] Prodotto DOP italiano per valore della produzione, dopo Grana Padano, Parmigiano Reggiano e Prosciutto di Parma",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
,,10378.604173660278,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,juierror/flan-t5-text2sql-with-schema,0,0,0
Dov'è nata la mozzarella di bufala?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,nel casertano e nella provincia di Salerno alle porte del Cilento. La mozzarella di bufala nel Medioevo Da quel momento iniziò un fiorente commercio di latticini ricavati dal latte di bufala,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,,18241.533279418945,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
Dove viene prodotto la mozzarella di bufala?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,"Casertano e in provincia di Salerno alle porte del Cilento. La produzione avviene anche in località selezionate della città metropolitana di Napoli, oltre che nel Basso Lazio, nell'alta Puglia e nel comune molisano di Venafro.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,,24011.84368133545,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
Che cosa significa DOP?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,"Denominazione di Origine Protetta) è il riconoscimento della ""DOP"" (Denominazione di Origine Protetta) che garantisce il consumatore e specifica l'area geografica in cui viene prodotto",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,,22338.966369628903,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
Quali sono i valori nutrizionali della mozzarella di bufala campana DOP?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,"l'apporto energetico è di 288 kcal/100 grammi grazie alla presenza di 16,7 g di proteine, 24,4 g di grassi, pochissimo lattosio (0,4 g%) e una quantità di micronutrienti",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,,34075.19602775574,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
Qual'è la storia della mozzarella di bufala?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,"L'epoca d'oro della mozzarella di bufala risale al Settecento, con i Borboni e la nascita della Real Tenuta di Carditello. All'inizio si trattava di semplici bufale fatte di fango e paglia dove i contadini mungevano gli animali e producevano il formaggio.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,,27445.220947265625,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
Quanto latte serve per produrre un chilo di mozzarella?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,"4,2 litri. Tutta la filiera è rigorosamente controllata al fine di garantire il rispetto delle norme igieniche e offrire al consumatore un prodotto di ottima qualità. Una mozzarella di bufala pesa mediamente intorno ai 250 grammi, nel caso di una mozzarella di Aversa il peso si aggira intorno ai 500 grammi",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,,20794.68822479248,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
Quanto costa all'incirca una mozzarella?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,"una tazza di caffè costava a detta degli esperti le ciliegie o il succo d'arancia, arrivava a poter partire dopo mesi. La cosa sorprendente è che, secondo il produttore, ""gli aumenti sono ancora minimi a causa delle leggi del mercato. Mozzarella e fiordilatte dovrebbero costare ancora di più ma questo è impossibile da far accettare"".",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,,25815.04321098328,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
Come riconoscere una mozzarella di qualità?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,"Ci sono alcuni valori che non possono essere superati: sotto i 12 euro in Campania e sotto i 16 nel resto d'Italia, la mozzarella potrebbe presentare problemi di qualità. Così dice Paolo Amato, uno dei mastri casari più stimati d'Italia, che ci dà anche qualche consiglio su come scegliere la mozzarella senza incappare in truffe.",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,,25890.36655426025,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
Quali sono gli abbinamenti culinari della mozzarella di Bufala Dop?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,"tondi, bocconcini, trecce, perle, ciliegie, nodini, ovetti. Il prodotto può essere anche affumicato con procedimenti naturali e tradizionali. La mozzarella di bufala campana DOP viene immessa al consumo in varie forme: tonda, bocconcini, trecce, perle, ciliegie, nodini, ovetti",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,,34997.67088890076,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
Come si produce la mozzarella di bufala campana DOP?,,,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,"con latte fresco intero di bufala di razza Mediterranea Italiana. Gli animali devono essere registrati all'anagrafe e sono allevati secondo le consuetudini locali in stabulazione semilibera, al pascolo aperto",,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
,,23524.829387664795,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,google/flan-t5-large,0,0,0
